asset_id,source_entity_id,asset_type,variant,build_scope,required,unit_count,status,is_placeholder,owner,reviewer,target_milestone,license_id,evidence
ART_CHR_LUCA_SHEET,LUCA,character_sheet,model_sheet,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_LUCA_PORTRAIT,LUCA,portrait_set,expressions,demo_full,true,10,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_LUCA_POSE,LUCA,pose_set,body_poses,demo_full,true,6,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_LUCA_FRACTURE,LUCA,character_overlay,fracture_pack,demo_full,true,4,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_IRIS_SHEET,IRIS,character_sheet,model_sheet,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_IRIS_PORTRAIT,IRIS,portrait_set,expressions,demo_full,true,10,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_IRIS_POSE,IRIS,pose_set,body_poses,demo_full,true,6,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_IRIS_FRACTURE,IRIS,character_overlay,fracture_pack,demo_full,true,4,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_MARA2_SHEET,MARA2,character_sheet,model_sheet,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_MARA2_PORTRAIT,MARA2,portrait_set,expressions,demo_full,true,10,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_MARA2_POSE,MARA2,pose_set,body_poses,demo_full,true,6,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_CHR_MARA2_FRACTURE,MARA2,character_overlay,fracture_pack,demo_full,true,4,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
UI_TITLE,UI_TITLE,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_FIRST_RUN_ACCESS,UI_FIRST_RUN_ACCESS,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_SETTINGS,UI_SETTINGS,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_SAVE_SLOTS,UI_SAVE_SLOTS,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_DIALOGUE,UI_DIALOGUE,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_DIALOGUE_HISTORY,UI_DIALOGUE_HISTORY,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_INVENTORY,UI_INVENTORY,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_NOTEBOOK,UI_NOTEBOOK,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_MAP,UI_MAP,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_PUZZLE_COMMON,UI_PUZZLE_COMMON,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_DEMO_END,UI_DEMO_END,ui,screen_pack,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
UI_CREDITS,UI_CREDITS,ui,screen_pack,full_only,true,1,PLANNED,true,210,beru,FULL_00_CONTENT_LOCK,TBD,
UI_ENDING_GALLERY,UI_ENDING_GALLERY,ui,screen_pack,full_only,true,1,PLANNED,true,210,beru,FULL_00_CONTENT_LOCK,TBD,
ART_PUZ_B3_A_PANEL,B3_A,puzzle_art,panel,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
VFX_PUZ_B3_A_STATE,B3_A,puzzle_vfx,state_feedback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
AUD_PUZ_B3_A,B3_A,puzzle_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_PUZ_B3_B_PANEL,B3_B,puzzle_art,panel,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
VFX_PUZ_B3_B_STATE,B3_B,puzzle_vfx,state_feedback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
AUD_PUZ_B3_B,B3_B,puzzle_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_PUZ_C3_PANEL,C3,puzzle_art,panel,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
VFX_PUZ_C3_STATE,C3,puzzle_vfx,state_feedback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
AUD_PUZ_C3,C3,puzzle_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_PUZ_C4_PANEL,C4,puzzle_art,panel,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
VFX_PUZ_C4_STATE,C4,puzzle_vfx,state_feedback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
AUD_PUZ_C4,C4,puzzle_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_PUZ_C5_PANEL,C5,puzzle_art,panel,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
VFX_PUZ_C5_STATE,C5,puzzle_vfx,state_feedback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
AUD_PUZ_C5,C5,puzzle_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_PUZ_D0_A_PANEL,D0_A,puzzle_art,panel,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
VFX_PUZ_D0_A_STATE,D0_A,puzzle_vfx,state_feedback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
AUD_PUZ_D0_A,D0_A,puzzle_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_PUZ_D1_PANEL,D1,puzzle_art,panel,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
VFX_PUZ_D1_STATE,D1,puzzle_vfx,state_feedback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
AUD_PUZ_D1,D1,puzzle_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_PUZ_D4_PANEL,D4,puzzle_art,panel,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
VFX_PUZ_D4_STATE,D4,puzzle_vfx,state_feedback,demo_full,true,1,PLANNED,true,210,beru,M2_DEMO_COMPLETE,TBD,
AUD_PUZ_D4,D4,puzzle_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_PUZ_E3_5_PANEL,E3_5,puzzle_art,panel,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
VFX_PUZ_E3_5_STATE,E3_5,puzzle_vfx,state_feedback,full_only,true,1,PLANNED,true,210,beru,FULL_00_CONTENT_LOCK,TBD,
AUD_PUZ_E3_5,E3_5,puzzle_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_PUZ_F0_A_PANEL,F0_A,puzzle_art,panel,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
VFX_PUZ_F0_A_STATE,F0_A,puzzle_vfx,state_feedback,full_only,true,1,PLANNED,true,210,beru,FULL_00_CONTENT_LOCK,TBD,
AUD_PUZ_F0_A,F0_A,puzzle_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_PUZ_F0_B_PANEL,F0_B,puzzle_art,panel,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
VFX_PUZ_F0_B_STATE,F0_B,puzzle_vfx,state_feedback,full_only,true,1,PLANNED,true,210,beru,FULL_00_CONTENT_LOCK,TBD,
AUD_PUZ_F0_B,F0_B,puzzle_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_PUZ_F0_C_PANEL,F0_C,puzzle_art,panel,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
VFX_PUZ_F0_C_STATE,F0_C,puzzle_vfx,state_feedback,full_only,true,1,PLANNED,true,210,beru,FULL_00_CONTENT_LOCK,TBD,
AUD_PUZ_F0_C,F0_C,puzzle_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_PUZ_F0_D_PANEL,F0_D,puzzle_art,panel,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
VFX_PUZ_F0_D_STATE,F0_D,puzzle_vfx,state_feedback,full_only,true,1,PLANNED,true,210,beru,FULL_00_CONTENT_LOCK,TBD,
AUD_PUZ_F0_D,F0_D,puzzle_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_PUZ_F0_E_PANEL,F0_E,puzzle_art,panel,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
VFX_PUZ_F0_E_STATE,F0_E,puzzle_vfx,state_feedback,full_only,true,1,PLANNED,true,210,beru,FULL_00_CONTENT_LOCK,TBD,
AUD_PUZ_F0_E,F0_E,puzzle_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_EVT_NORMAL_RESET,NORMAL_RESET,event_art,transition_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_EVT_NORMAL_RESET,NORMAL_RESET,event_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_EVT_D5_FILTER_BREAK,D5_FILTER_BREAK,event_art,transition_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_EVT_D5_FILTER_BREAK,D5_FILTER_BREAK,event_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_EVT_BROKEN_RESET,BROKEN_RESET,event_art,transition_pack,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
AUD_EVT_BROKEN_RESET,BROKEN_RESET,event_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_EVT_JOURNAL_RESTORE,JOURNAL_RESTORE,event_art,transition_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_EVT_JOURNAL_RESTORE,JOURNAL_RESTORE,event_audio,cue_pack,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_EVT_E_HUB_STABILIZE,E_HUB_STABILIZE,event_art,transition_pack,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
AUD_EVT_E_HUB_STABILIZE,E_HUB_STABILIZE,event_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_EVT_F0_CORE_PATH,F0_CORE_PATH,event_art,transition_pack,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
AUD_EVT_F0_CORE_PATH,F0_CORE_PATH,event_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_EVT_EDR_WAKE,EDR_WAKE,event_art,transition_pack,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
AUD_EVT_EDR_WAKE,EDR_WAKE,event_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
ART_EVT_EDS_TABLEAU,EDS_TABLEAU,event_art,transition_pack,full_only,true,1,PLANNED,true,210,gatam,FULL_00_CONTENT_LOCK,TBD,
AUD_EVT_EDS_TABLEAU,EDS_TABLEAU,event_audio,cue_pack,full_only,true,1,PLANNED,true,NOne,gatam,FULL_00_CONTENT_LOCK,TBD,
VFX_SIG_EDGAR,EDGAR,signature_vfx,pattern_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_SIG_EDGAR,EDGAR,signature_audio,identity_cue,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
VFX_SIG_MARA1,MARA1,signature_vfx,pattern_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_SIG_MARA1,MARA1,signature_audio,identity_cue,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
VFX_SIG_LUCA,LUCA,signature_vfx,pattern_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_SIG_LUCA,LUCA,signature_audio,identity_cue,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
VFX_SIG_IRIS,IRIS,signature_vfx,pattern_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_SIG_IRIS,IRIS,signature_audio,identity_cue,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
VFX_SIG_MARA2,MARA2,signature_vfx,pattern_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_SIG_MARA2,MARA2,signature_audio,identity_cue,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
VFX_SIG_SUBJECT,SUBJECT,signature_vfx,pattern_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
